VendorNumber,VendorName,Brand,Description,PurchasePrice,actual_price,Volume,total_purchase_qty,total_purchase_dollars,total_sales_dollars,total_sales_price,total_sales_qty,excisetax,freightcost,grossprofit,profitmargin,stockturnover,sales_to_purchase_ratio,unit_purchase_price,order_size,unsold_inventory_value
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080.0,3811251.6000000085,5101919.509999744,672819.3099999535,142049.0,260999.19999999227,68601.68000000001,1290667.9099997352,25.297692514945226,0.9791080783016267,1.338646734841576,26.27000000000006,Large,-3586547.23
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038.0,3804041.2199999895,4819073.489999817,561512.3699999761,160247.0,294438.6599999949,144929.24,1015032.2699998273,21.062809523576405,0.9768895012131336,1.2668299871892108,23.189999999999937,Large,-3552089.93
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407.0,3418303.6799999867,4538120.599999799,461140.1500000106,187140.0,343854.0699999973,123780.21999999997,1119816.9199998127,24.675785830809836,0.9985752933454993,1.3275943347431955,18.239999999999927,Large,-3226026.5999999996
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682.0,3261197.9400000037,4475972.879999836,420050.0100000236,200412.0,368242.7999999948,257032.07000000007,1214774.9399998323,27.139908408021384,0.9937029581221923,1.3724934709114378,16.17000000000002,Large,-3038980.0400000005
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109.0,3023206.0100000137,4223107.619999814,545778.2799999831,135838.0,249587.8299999911,257032.07000000007,1199901.6099998,28.412764200403046,0.9835564662693959,1.3968970708680863,21.8900000000001,Large,-2835384.8200000003
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809.0,2466635.92999999,3383912.3999998393,446932.09000001545,141860.0,111699.19000000312,89286.26999999999,917276.4699998493,27.10698036981965,1.0219798428055817,1.3718734730341227,17.76999999999993,Large,-2382043.1999999997
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783.0,2177285.0800000057,2773367.729999891,614529.3399999688,69627.0,127931.6699999955,123780.21999999997,596082.6499998854,21.49309821240001,0.9836683949535906,1.2737733590678368,30.76000000000008,Large,-2070943.52
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386.0,2088334.8400000036,2592041.3499999344,292586.290000021,148265.0,272422.59999999544,257032.07000000007,503706.50999993086,19.432811517452976,0.9186980283295949,1.241200070195606,12.940000000000023,Large,-1757163.0999999999
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835.0,1903739.5500000063,2640491.189999877,503661.0199999951,90481.0,166244.43999999098,257032.07000000007,736751.6399998707,27.902067720964634,0.9852561659498013,1.3870023291788356,20.730000000000068,Large,-1783836.1300000001
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866.0,1773427.139999997,2435393.389999906,426902.7800000248,107061.0,196707.34999999247,123880.96999999999,661966.249999909,27.181080999810654,0.9834199842007606,1.3732694933268643,16.289999999999974,Large,-1635157.69
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205.0,1530426.0999999996,2148965.5299998946,436011.64000002167,91247.0,71840.5700000024,123780.21999999997,618539.4299998949,28.783124780969626,0.9789925433184915,1.404161579575711,16.419999999999995,Large,-1405070.7400000002
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942.0,1498161.9600000135,1840615.6699999266,442856.2000000146,61433.0,112875.18999999562,257032.07000000007,342453.7099999131,18.605389249996268,0.917704878850348,1.2285825692703545,22.3800000000002,Large,-1307928.54
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001.0,1478001.42,2189368.779999909,495957.82999999856,70122.0,128839.07999999367,89286.26999999999,711367.3599999091,32.49189293728481,1.0162461413602701,1.481303570060108,21.419999999999998,Large,-1433012.2400000002
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668.0,1460072.3599999952,2326007.779999937,189608.95999998946,214238.0,24083.770000000128,17587.59,865935.4199999417,37.228397404585,0.9933694382105829,1.593077058180832,6.769999999999977,Large,-1234723.26
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951.0,1452173.309999979,2009508.6099999058,662320.0399999678,41639.0,32783.09000000048,68054.70000000003,557335.2999999267,27.73490480341624,0.9694535633629019,1.383793928838931,33.80999999999951,Large,-1364863.59
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596.0,1414552.9199999971,1739044.2799999616,507291.4299999967,28372.0,52133.72000000038,257032.07000000007,324491.3599999645,18.659177556995367,0.897961767312318,1.2293949949924567,44.76999999999991,Large,-1238618.4400000002
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645.0,1399080.1500000106,1844950.2899999162,504735.0599999949,59771.0,109817.06999999519,123780.21999999997,445870.1399999056,24.167054387136137,0.9855882595432435,1.318688060866207,23.070000000000174,Large,-1318271.97
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249.0,1396130.7700000054,2068091.1599999284,494487.64999999444,65184.0,119767.48999999698,257032.07000000007,671960.3899999231,32.49181675337495,1.0145527556849134,1.4813018983887307,21.730000000000082,Large,-1352199.32
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546.0,1373128.480000014,1884307.3399999104,596574.929999973,47966.0,88129.7999999975,257032.07000000007,511178.8599998965,27.128210411785624,1.0088335506667228,1.3722731466467664,28.880000000000294,Large,-1337712.0799999998
